trip_id,pickup_time,drop_time,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,surge_fare
1,30-04-2025 02:25,30-04-2025 02:55,4,6.24,18,173,1,15.18,4.98
2,06-04-2025 01:36,06-04-2025 02:25,5,17.08,54,35,2,37.22,0.02
3,02-04-2025 03:19,02-04-2025 03:31,3,9.78,97,77,3,22.38,3.51
4,13-04-2025 12:24,13-04-2025 13:22,5,2.99,234,185,1,8.58,0.11
5,12-04-2025 03:29,12-04-2025 03:42,5,20.71,240,55,2,44.59,6.83
6,11-04-2025 03:48,11-04-2025 04:39,2,21.38,54,94,3,45.96,8.53
7,07-04-2025 08:24,07-04-2025 09:04,3,11.12,87,144,2,25.1,3.85
8,05-04-2025 15:57,05-04-2025 16:19,3,2.76,261,247,4,8.11,5.25
9,25-04-2025 19:41,25-04-2025 20:13,3,13.08,236,200,4,29.09,0.66
10,04-04-2025 22:57,04-04-2025 23:15,5,13.55,123,236,1,30.04,3.85
11,27-04-2025 20:58,27-04-2025 21:42,4,20.23,54,220,1,43.62,1.39
12,20-04-2025 04:51,20-04-2025 05:28,3,9.8,216,216,2,22.42,0.65
13,02-04-2025 10:42,02-04-2025 11:38,6,20.64,197,49,3,44.45,1.72
14,02-04-2025 08:32,02-04-2025 08:57,5,26.21,39,118,4,55.77,8.71
15,05-04-2025 06:20,05-04-2025 07:08,2,7.51,228,82,2,17.76,9.82
16,10-04-2025 22:48,10-04-2025 23:14,4,29.38,237,263,1,62.22,8.79
17,11-04-2025 14:07,11-04-2025 14:52,6,11.9,132,77,1,26.69,9.7
18,23-04-2025 23:58,24-04-2025 00:19,6,8.38,168,211,1,19.53,7.31
19,28-04-2025 09:33,28-04-2025 10:26,2,12.93,37,122,1,28.78,1.6
20,02-04-2025 04:59,02-04-2025 05:49,4,3.28,67,90,1,9.17,5.63
21,26-04-2025 13:01,26-04-2025 13:34,5,4.21,111,258,1,11.06,7.32
22,10-04-2025 01:11,10-04-2025 01:33,1,12.73,219,161,1,28.37,5.13
23,30-04-2025 13:50,30-04-2025 14:10,4,22.99,209,176,1,49.23,5.55
24,25-04-2025 19:13,25-04-2025 20:00,2,27.06,87,89,1,57.5,5.86
25,20-04-2025 02:13,20-04-2025 02:38,6,20.11,179,127,1,43.37,4.67
26,11-04-2025 00:46,11-04-2025 01:12,5,3.6,13,260,1,9.82,2.91
27,21-04-2025 10:39,21-04-2025 10:57,4,20.32,125,244,1,43.8,6.37
28,27-04-2025 19:38,27-04-2025 20:12,1,19.25,233,111,1,41.63,0.54
29,13-04-2025 15:51,13-04-2025 16:34,1,24.27,251,24,1,51.83,1.71
30,01-04-2025 07:05,01-04-2025 07:31,3,24.84,126,50,1,52.99,9.25
31,08-04-2025 06:23,08-04-2025 06:29,3,26.11,235,37,1,55.57,4.89
32,20-04-2025 05:36,20-04-2025 06:25,2,12.72,138,181,2,28.35,8.22
33,16-04-2025 11:38,16-04-2025 11:51,4,21.09,49,253,3,45.37,7.27
